Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Maple Leaf Foods Inc,2022-11-06 23:30:01,CNW,MFI.TO,Maple Leaf Foods Confirms System Outage Linked to Cybersecurity Incident,TORONTO STOCK EXCHANGE,Consumer Non-Cyclicals,56490510,Shutdown,,,,,,1.0,,,,,MFI,TO,2022-11-06
Marriott International Inc,2014-02-03 16:00:19,RTRS,MAR.O,White lodging releases additional information about data breach investigation,unknown,Consumer Cyclicals,57190320,Data-breach,1.0,,,,,,,,,,MAR,O,2014-02-03
Marriott International Inc,2016-08-14 19:03:28,RTRS,MAR.O,"Starwood, Marriott, Hyatt, IHG hit by malware -HEI",unknown,Consumer Cyclicals,57190320,Data-breach,1.0,,,,,,,,,,MAR,O,2016-08-14
Marriott International Inc,2020-03-31 16:11:03,RTRS,MAR.O,Marriott says 5.2 mln guests exposed in new data breach,unknown,Consumer Cyclicals,57190320,Data-breach,1.0,,,,,,,,,,MAR,O,2020-03-31
Marriott International Inc,2022-07-06 10:28:15,TWTR,MAR.O,@psk2329: Marriott International Confirms Another Data Breach -Tech Crunch $MAR https://t.co/SONUXcqLmp,unknown,Consumer Cyclicals,57190320,Data-breach,1.0,,,,,,,,,,MAR,O,2022-07-06
Marten Transport Ltd,2021-10-04 12:00:00,RTRS,MRTN.O,BRIEF-Marten Transport Detected Cyberattack On Oct. 3 That Accessed Encrypted Files On Servers Utilized By Co In Provision Of Its Business,unknown,Industrials,57307510,Shutdown,1.0,,,,,1.0,,,,,MRTN,O,2021-10-04
Meta Platforms Inc,2013-02-14 19:00:00,RTRS,FB.OQ,"facebook hacked, social media company says",NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,30303M10,Code-vulnerability,,,1.0,,,,,,,,FB,OQ,2013-02-14
Meta Platforms Inc,2013-06-20 20:00:00,RTRS,FB.O,facebookadmits year-long data breach exposed 6 million users,unknown,Technology,30303M10,Data-breach,1.0,,,,,,,,,,FB,O,2013-06-20
Meta Platforms Inc,2015-01-27 03:00:37,RTRS,FB.O,"hacker group claims it is behind outages at facebook, other sites",unknown,Technology,30303M10,Shutdown,,,,,,1.0,,,,,FB,O,2015-01-27
Meta Platforms Inc,2015-09-09 08:48:24,RTRS,FB.O,media-hack puts users of whatsapp's web-based service at risk-cnbc,unknown,Technology,30303M10,Code-vulnerability,,1.0,,,,,,,,,FB,O,2015-09-09
